row,obsid,sourceName,beam,frequency,driftRate,snr,n_beams,n_beams_formed,beam_frac,n_obs_at_freq,n_obs_at_freq_drift,ra,dec
52192,MeerKAT:array_1:20250730T231157Z,Gaia_2682741271499860352,23,599.9934822916985,-0.05133671265866724,324.20242,2,64,0.03125,1,1,22.18109346067459,1.9674617605887792
164221,MeerKAT:array_1:20250722T231023Z,Gaia_2682555041717977984,52,599.9935795664787,-0.01711223755288908,319.90936,2,64,0.03125,1,1,22.195074494064556,1.887722468987559
144420,MeerKAT:array_1:20250720T235835Z,Gaia_2682587374231791744,30,575.000625371933,0.01711223755288908,292.28287,1,64,0.015625,1,1,22.20419002851941,2.129215123422028
71401,MeerKAT:array_1:20250716T201432Z,Gaia_4426399965347459584,57,625.0293194651604,0.09411730654088994,269.13058,2,64,0.03125,1,1,15.868188251332901,5.529780279140207
72868,MeerKAT:array_1:20250718T213759Z,Gaia_2698993565187261952,27,623.9689584970474,-0.06844895021155632,225.50273,2,64,0.03125,1,1,21.49100875068158,4.523621385135413
73404,MeerKAT:array_1:20250720T194306Z,Gaia_4426422367896713600,2,623.970064997673,-0.09411730654088994,218.32626,2,64,0.03125,1,1,15.83279358767507,5.4949924853434196
73414,MeerKAT:array_1:20250720T194306Z,ex_LEDA_1280019,4,623.970064997673,-0.09411730654088994,217.71288,2,64,0.03125,1,1,15.8189722,5.224444
71321,MeerKAT:array_1:20250716T201432Z,Gaia_4426432881976680704,35,625.0293204784393,0.0855611877644454,215.1493,2,64,0.03125,1,1,15.815472056371913,5.441388903043819
72872,MeerKAT:array_1:20250718T213759Z,Gaia_2699436599653880192,29,623.9689584970474,-0.06844895021155632,214.85,2,64,0.03125,1,1,21.52958867152775,5.37562799781493
73603,MeerKAT:array_1:20250720T194306Z,Gaia_4426370519051570688,42,623.970066010952,-0.11122954409377903,213.21976,1,64,0.015625,1,1,15.870434498797842,5.139616365078252
200286,MeerKAT:array_1:20250730T204925Z,Gaia_2699010470178769280,14,647.9931946992874,-0.00855611877644454,209.53879,3,64,0.046875,2,2,21.505680502486847,4.898575057854201
113916,MeerKAT:array_1:20250729T175426Z,ex_V3493_Sgr,20,549.9942148327827,0.01711223755288908,207.41872,3,64,0.046875,1,1,18.5257394,-35.809325
200321,MeerKAT:array_1:20250730T204925Z,Gaia_2699061356951313920,34,647.9931946992874,-0.00855611877644454,205.81522,3,64,0.046875,2,2,21.51544492222212,5.240245142829202
200333,MeerKAT:array_1:20250730T204925Z,Gaia_2698991503603079552,40,647.9931946992874,-0.00855611877644454,205.21783,3,64,0.046875,2,2,21.538780144601716,4.9946796354515826
116179,MeerKAT:array_1:20250731T212434Z,Gaia_2699234942349561856,37,551.9474944472313,0.01711223755288908,204.46568,1,64,0.015625,1,1,21.474112788310613,5.273753528619923
162599,MeerKAT:array_1:20250710T050136Z,ex_UGC_11807,6,599.9433270096779,-0.01711223755288908,200.8913,3,64,0.046875,2,2,21.770861133333337,7.057361
113915,MeerKAT:array_1:20250729T175426Z,Gaia_6733400240609825664,4,549.9942148327827,0.01711223755288908,200.85648,3,64,0.046875,1,1,18.525507980308706,-36.27386178167508
113917,MeerKAT:array_1:20250729T175426Z,Gaia_6733432130770080384,49,549.9942148327827,0.01711223755288908,199.21877,3,64,0.046875,1,1,18.546365489579472,-36.038692613180764
72606,MeerKAT:array_1:20250718T194550Z,Gaia_4426474762197643136,61,623.9691621661186,-0.10267342531733448,194.6114,1,64,0.015625,1,1,15.839004275794569,5.909935524588835
56523,MeerKAT:array_1:20250729T173047Z,Gaia_6734055382070317952,59,615.2238797545433,-0.19679073185822443,191.4146,1,64,0.015625,1,1,18.510551440684132,-36.384365033551816
185633,MeerKAT:array_1:20250716T222802Z,Gaia_4426358493143041536,22,623.9685937166214,-0.01711223755288908,174.85606,1,64,0.015625,1,1,15.825470697432763,5.107744408100798
162658,MeerKAT:array_1:20250710T050136Z,Gaia_2700379980630316672,11,599.9433270096779,-0.01711223755288908,166.35931,3,64,0.046875,2,2,21.77540480070923,6.581492782635333
162670,MeerKAT:array_1:20250710T050136Z,Gaia_2700379980630316544,12,599.9433270096779,-0.01711223755288908,166.00677,3,64,0.046875,2,2,21.775437365156417,6.580255010021257
48174,MeerKAT:array_1:20250723T214437Z,Gaia_2682593902582126208,54,599.9707797765732,-0.02566835632933362,162.99573,4,64,0.0625,1,1,22.21501269099234,2.2645593074655777
48203,MeerKAT:array_1:20250723T214437Z,Gaia_2682550471872804736,62,599.9707797765732,-0.03422447510577816,162.1605,4,64,0.0625,1,1,22.173999893349077,1.8039306862337932
4475,MeerKAT:array_1:20250728T214014Z,Gaia_2682581567435990016,23,551.9999032616615,-0.2139029694111135,159.9782,2,64,0.03125,2,1,22.208607917796215,2.055024264276728
48072,MeerKAT:array_1:20250723T214437Z,ex_LEDA_1225072,26,599.9707797765732,-0.02566835632933362,159.02892,4,64,0.0625,1,1,22.194694466666665,2.381389
169241,MeerKAT:array_1:20250731T212434Z,Gaia_2699629151627607168,29,599.9429287910461,0.01711223755288908,158.04863,1,64,0.015625,1,1,21.521886275349882,5.514687357119614
48200,MeerKAT:array_1:20250723T214437Z,Gaia_2682779234718308224,61,599.9707797765732,-0.02566835632933362,157.9587,4,64,0.0625,1,1,22.189573930603107,2.252632874066829
84549,MeerKAT:array_1:20250729T173047Z,Gaia_6734069641361825920,56,647.2235921025276,-0.1283417816466681,157.49751,1,64,0.015625,11,1,18.497452031848606,-36.32476106789582
84547,MeerKAT:array_1:20250729T173047Z,Gaia_6734202304308193024,32,647.2235981822014,-0.2139029694111135,156.1373,1,64,0.015625,12,1,18.522331960226314,-35.785313219059326
3985,MeerKAT:array_1:20250728T194227Z,Gaia_2682591153803051008,17,552.0000785589218,0.03422447510577816,154.05054,2,64,0.03125,1,1,22.223665732911314,2.2246852769897942
4553,MeerKAT:array_1:20250728T214014Z,Gaia_2682593902582126208,49,551.9999032616615,-0.2139029694111135,154.03639,2,64,0.03125,2,1,22.21501269099234,2.2645593074655777
171595,MeerKAT:array_1:20250710T030814Z,Gaia_2699022186849578240,43,613.2232749462128,0.01711223755288908,153.1454,4,64,0.0625,2,2,21.497634614458626,4.900551157597037
