row,obsid,sourceName,beam,frequency,driftRate,snr,n_beams,n_beams_formed,beam_frac,n_obs_at_freq,n_obs_at_freq_drift,ra,dec
21310,MeerKAT:array_1:20250708T125143Z,Gaia_2973714860445353216,43,875.0023625344038,-0.16401217301849572,12.736736,3,64,0.046875,1,1,4.805147732076809,-22.21093773416795
18712,MeerKAT:array_1:20250708T094824Z,Gaia_2973830515324686976,24,870.2972341179848,-0.2972720635960235,12.735284,3,64,0.046875,1,1,4.772673567805199,-22.037277351998767
24641,MeerKAT:array_1:20250711T085603Z,ex_LEDA_550336,40,870.60029271245,-0.33827510685064743,12.697824,4,64,0.0625,1,1,4.6828888666666675,-43.311667
19231,MeerKAT:array_1:20250708T094824Z,Gaia_2973722213429327360,25,879.2238558381796,-0.3485258676643034,12.663574,2,64,0.03125,1,1,4.819352629197102,-22.120307555715957
26230,MeerKAT:array_1:20250711T092345Z,Gaia_4814664252987685632,10,870.4154606759548,-0.04100304325462393,12.653266,2,64,0.03125,1,1,4.696808795783004,-43.46910412328953
59580,MeerKAT:array_1:20250712T091244Z,Gaia_2323515223384398592,14,919.7921886891127,0.2255167379004316,12.65012,1,64,0.015625,1,1,0.412468329714072,-26.034595771282632
15271,MeerKAT:array_1:20250706T040458Z,Gaia_2545302794769170048,54,874.9985263496637,0.0615045648819359,12.608818,4,64,0.0625,1,1,0.35509407713941626,0.16238453099719746
32944,MeerKAT:array_1:20250719T113106Z,Gaia_2993042041480614144,20,872.2136491537094,0.09225684732290385,12.570079,2,64,0.03125,1,1,6.158366537013832,-15.362949391028039
18723,MeerKAT:array_1:20250708T094824Z,Gaia_2973726989432958208,60,870.4524561017752,-0.2870213027823675,12.538503,1,64,0.015625,1,1,4.812487315788324,-22.00730141066672
26245,MeerKAT:array_1:20250711T092345Z,Gaia_4790682564356198912,12,870.1211219877005,-0.1127583689502158,12.53438,1,64,0.015625,1,1,4.665969599152861,-43.819929225432276
5673,MeerKAT:array_1:20250712T084022Z,Gaia_2323445129518134144,13,864.0852169394493,0.03075228244096795,12.52548,4,64,0.0625,1,1,0.43120273447036295,-26.38311187631232
15214,MeerKAT:array_1:20250706T040458Z,Gaia_2546796623050596480,35,874.9985263496637,0.0615045648819359,12.518725,4,64,0.0625,1,1,0.3934089901517984,0.23937197964804885
5541,MeerKAT:array_1:20250712T080758Z,Gaia_2323475263008703872,19,867.8789421617985,-0.31777358522333543,12.486363,2,64,0.03125,1,1,0.4384958764061941,-26.126092945534804
19056,MeerKAT:array_1:20250708T094824Z,Gaia_2973726710258243584,35,874.9887365847826,-0.1127583689502158,12.450456,3,64,0.046875,1,1,4.814457292855569,-22.026571986777792
27223,MeerKAT:array_1:20250711T092345Z,Gaia_4814735545148476800,25,879.9766106307507,-0.1742629338321517,12.44942,1,64,0.015625,1,1,4.69118556220868,-43.32244436158716
32108,MeerKAT:array_1:20250713T120523Z,Gaia_5096100918589623168,46,869.9925619661808,-0.33827510685064743,12.423729,1,64,0.015625,1,1,4.168359465287741,-17.746841442740564
23814,MeerKAT:array_1:20250711T085603Z,Gaia_4814724245090845952,2,870.338714659214,-0.3587766284779594,12.421433,1,64,0.015625,1,1,4.656040254433232,-43.35870343738148
5608,MeerKAT:array_1:20250712T080758Z,Gaia_2323496840924417792,63,867.8982075899839,-0.2357674987140876,12.41215,4,64,0.0625,1,1,0.4445874490180622,-25.915246348874202
26422,MeerKAT:array_1:20250711T092345Z,Gaia_4814724382529799808,27,870.4154622703791,-0.09225684732290385,12.3988905,4,64,0.0625,1,1,4.65286861163457,-43.34829068784147
15202,MeerKAT:array_1:20250706T040458Z,ex_LEDA_1152843,31,874.998527944088,0.04100304325462393,12.340963,1,64,0.015625,1,1,0.38534046666666666,-0.063491
58126,MeerKAT:array_1:20250712T065251Z,Gaia_2323547040502143744,61,919.9987033009529,-0.25626902034139953,12.32327,2,64,0.03125,1,1,0.41774027391317337,-25.73047832623338
27071,MeerKAT:array_1:20250711T092345Z,Gaia_4790680846369268736,28,876.56150855124,-0.3075228244096795,12.309949,1,64,0.015625,2,1,4.67789310322079,-43.794137797103
25042,MeerKAT:array_1:20250711T085603Z,Gaia_4790703317638135808,59,870.3634314239025,-0.2870213027823675,12.301804,4,64,0.0625,1,1,4.644831723541808,-43.50853771997735
18721,MeerKAT:array_1:20250708T094824Z,Gaia_2973829828129917696,54,870.2972341179848,-0.2972720635960235,12.276493,3,64,0.046875,1,1,4.775259611085118,-22.033261483144322
26450,MeerKAT:array_1:20250711T092345Z,Gaia_4814660954452869632,30,870.4522679597139,-0.25626902034139953,12.265243,4,64,0.0625,1,1,4.699707994893376,-43.625162725083754
23426,MeerKAT:array_1:20250711T085603Z,ex_LEDA_130375,20,869.7958450913429,-0.3587766284779594,12.262744,1,64,0.015625,1,1,4.662655666666668,-43.411836
26704,MeerKAT:array_1:20250711T092345Z,Gaia_4790689814260965888,50,870.415475025773,-0.25626902034139953,12.24562,2,64,0.03125,1,1,4.65070247795314,-43.83823028607529
32106,MeerKAT:array_1:20250713T120523Z,Gaia_5096047420477034496,20,869.9925492107868,-0.08200608650924786,12.226447,3,64,0.046875,1,1,4.155704590716585,-18.2656769355045
2161,MeerKAT:array_1:20250702T222259Z,Gaia_6891272281948948864,63,864.0010329335928,-0.09225684732290385,12.21669,3,64,0.046875,1,1,21.529381885832834,-11.918789152299734
16147,MeerKAT:array_1:20250706T093833Z,Gaia_4802458299530253696,60,872.0094528347254,-0.04100304325462393,12.215436,2,64,0.03125,1,1,5.650291951833832,-44.434527145082974
4023,MeerKAT:array_1:20250709T050322Z,Gaia_4936858683898776064,36,863.9844477325678,0.07175532569559187,12.185866,3,64,0.046875,2,1,2.17013208843949,-50.95860120669859
15235,MeerKAT:array_1:20250706T040458Z,Gaia_2546813115724975872,42,874.9985263496637,0.0615045648819359,12.179035,4,64,0.0625,1,1,0.3725918081856032,0.35025398977839534
2767,MeerKAT:array_1:20250703T001453Z,ex_LEDA_957167,49,864.0003505200148,-0.14351065139118374,12.174465,3,64,0.046875,1,1,21.55119446666667,-12.137778
8411,MeerKAT:array_1:20250720T121928Z,ex_2MASX_J13380283-1242156,15,863.9588046073914,0.08200608650924786,12.16043,3,64,0.046875,1,1,13.634129333333334,-12.704487
17450,MeerKAT:array_1:20250706T141948Z,Gaia_4802447648011278464,15,871.9998113512993,-0.05125380406827991,12.129808,4,64,0.0625,1,1,5.678010343897713,-44.099383016151336
15247,MeerKAT:array_1:20250706T040458Z,Gaia_2546826687820409856,46,874.9985263496637,0.0615045648819359,12.0659,4,64,0.0625,1,1,0.38951664201909636,0.4519376941278924
25116,MeerKAT:array_1:20250711T085603Z,Gaia_4790703317638134144,62,870.3634330183268,-0.3075228244096795,12.059081,4,64,0.0625,1,1,4.64511613306434,-43.50489438990966
2670,MeerKAT:array_1:20250703T001453Z,Gaia_6891253963917590528,13,864.0003505200148,-0.14351065139118374,12.05631,3,64,0.046875,1,1,21.54209347932042,-12.072579368194939
31784,MeerKAT:array_1:20250713T113750Z,Gaia_5096090645027881088,21,869.9943955540657,-0.10250760813655982,12.039612,4,64,0.0625,1,1,4.162920304249312,-17.877805660910763
5933,MeerKAT:array_1:20250712T084022Z,ex_2dFGRS_TGS138Z236,4,867.7710538506508,-0.07175532569559187,12.020543,1,64,0.015625,1,1,0.43377780000000005,-26.044444
6660,MeerKAT:array_1:20250718T233501Z,ex_2dFGRS_TGS544Z309,15,863.9902323037386,-0.03075228244096795,12.013548,1,63,0.015873015873015872,1,1,23.700166666666664,-34.806667000000004
17480,MeerKAT:array_1:20250706T141948Z,Gaia_4802416586807956480,45,871.9998113512993,-0.05125380406827991,12.006786,4,64,0.0625,1,1,5.6604493225171595,-44.422003793968926
54961,MeerKAT:array_1:20250701T220028Z,Gaia_1315532234905609344,23,919.9845400303602,-0.03075228244096795,12.002473,2,64,0.03125,2,1,16.1309658851564,26.64617435182956
18725,MeerKAT:array_1:20250708T094824Z,Gaia_2973728088944479104,62,870.2972341179848,-0.32802434603699143,11.994877,3,64,0.046875,1,1,4.810215306177019,-21.96747213462873
58745,MeerKAT:array_1:20250712T073536Z,Gaia_2323502510281245440,57,919.7934116125107,-0.05125380406827991,11.991735,4,64,0.0625,1,1,0.4384269158389503,-25.77105180136157
26720,MeerKAT:array_1:20250711T092345Z,Gaia_4791452359934653952,52,870.1331838071346,-0.05125380406827991,11.981336,1,64,0.015625,1,1,4.6404822497358875,-43.5300470198016
55210,MeerKAT:array_1:20250702T211800Z,Gaia_6843207680896341120,20,919.7939728498459,0.3075228244096795,11.94032,4,64,0.0625,2,1,21.543756955187412,-12.341482103518068
21280,MeerKAT:array_1:20250708T125143Z,Gaia_2973636103628516992,33,875.0023625344038,-0.16401217301849572,11.92645,3,64,0.046875,1,1,4.786390508496759,-22.23404202230175
18662,MeerKAT:array_1:20250708T092055Z,Gaia_2973828144502741632,46,879.9704657196999,-0.14351065139118374,11.862045,4,64,0.0625,1,1,4.77209128627901,-22.08013691896438
6362,MeerKAT:array_1:20250712T091244Z,Gaia_2323486086326321792,63,866.6568638086319,0.2972720635960235,11.838306,3,64,0.046875,1,1,0.45585907702270373,-25.906111422922177
25065,MeerKAT:array_1:20250711T085603Z,Gaia_4814702323577882624,60,870.3634314239025,-0.2870213027823675,11.820876,4,64,0.0625,1,1,4.682884809590513,-43.66312892952894
25336,MeerKAT:array_1:20250711T085603Z,ex_LEDA_549534,14,872.6397638171911,0.05125380406827991,11.818739,4,64,0.0625,1,1,4.653527799999999,-43.376667
5506,MeerKAT:array_1:20250712T080758Z,ex_2dFGRS_TGS138Z230,5,867.8789437562227,-0.3587766284779594,11.808932,4,64,0.0625,1,1,0.4409722,-25.986944
4616,MeerKAT:array_1:20250712T072515Z,Gaia_2323514707988323200,11,860.2017527371645,0.16401217301849572,11.803345,2,64,0.03125,1,1,0.408112466028178,-26.06824740804821
23816,MeerKAT:array_1:20250711T085603Z,Gaia_4814724245090845952,2,870.3634298294783,-0.26651978115505554,11.783483,4,64,0.0625,1,1,4.656040254433232,-43.35870343738148
86142,MeerKAT:array_1:20250708T092055Z,Gaia_2973722316508539776,14,923.9689902812243,-0.19476445545946366,11.780372,1,64,0.015625,1,1,4.819652306046136,-22.106328067929518
