row,obsid,sourceName,beam,frequency,driftRate,snr,n_beams,n_beams_formed,beam_frac,n_obs_at_freq,ra,dec
150,MeerKAT:array_1:20250706T014240Z,Gaia_6440695023932021632,59,863.9567525833845,-0.03026415097365099,19.85811,4,64,0.0625,1,19.634224909586116,-63.90462129388246
559,MeerKAT:array_1:20250731T144023Z,Gaia_1468200283416012160,30,863.9567318558693,0.07061635227185231,19.825853,2,64,0.03125,1,13.499973008061355,30.401224308452417
6678,MeerKAT:array_1:20250709T224008Z,Gaia_6441067487791042048,45,960.0000349730253,-0.19167295616645627,19.63844,3,64,0.046875,1,19.690574612077228,-63.644972320459345
2264,MeerKAT:array_1:20250719T103545Z,Gaia_4669698042911946112,14,920.0908642113209,-0.02017610064910066,19.636244,4,64,0.0625,1,4.105147728387502,-65.94326904581334
14888,MeerKAT:array_1:20240319T020710Z,Gaia_2543037354139398912,26,1525.08579531312,-0.02017610064910066,19.555344,1,64,0.015625,1,0.7354096646074186,0.04012672298767867
3272,MeerKAT:array_1:20250715T232237Z,Gaia_6441426164804157184,42,924.9922837913036,0.1714968555173556,19.52822,2,63,0.031746031746031744,1,19.602457395037728,-63.785916891662275
392,MeerKAT:array_1:20250718T162015Z,Gaia_5938841392611873024,26,863.9908923953772,0.035308176135926156,19.413887,2,64,0.03125,1,17.01664384455779,-48.83557104579728
621,MeerKAT:array_1:20250701T095804Z,Gaia_4669713539154051968,49,875.0176498740911,0.005044025162275165,19.381248,2,64,0.03125,1,4.141713242289284,-65.72886604085323
540,MeerKAT:array_1:20250731T130553Z,Gaia_5422755721446663296,41,863.9644488692284,0.015132075486825495,19.299715,3,64,0.046875,2,9.356339502852032,-45.853495787514824
640,MeerKAT:array_1:20250701T133303Z,ex_LEDA_310253,19,874.998335018754,-0.14123270454370462,19.293049,3,64,0.046875,1,4.087444466666667,-65.780833
167,MeerKAT:array_1:20250706T120334Z,Gaia_3394255140123626496,32,863.9996601343155,0.04539622646047649,19.284834,2,64,0.03125,1,5.351768638705826,16.865355333670287
180,MeerKAT:array_1:20250706T171757Z,Gaia_6441081162966921088,3,863.9904650896788,-0.015132075486825495,19.27681,4,64,0.0625,4,19.680021087197684,-63.54123171301072
174,MeerKAT:array_1:20250706T120334Z,Gaia_3394165598645252864,52,863.9996617287397,0.035308176135926156,19.201815,1,64,0.015625,1,5.34474799978338,16.91230626841586
14883,MeerKAT:array_1:20240319T020710Z,Gaia_2543020865760350464,11,1364.1800047755241,0.06052830194730198,19.148735,2,64,0.03125,1,0.7261650565901477,-0.2852434678886343
78,MeerKAT:array_1:20250701T133303Z,ex_LEDA_310383,31,863.9917135238647,0.06052830194730198,19.140347,3,64,0.046875,1,4.144116333333334,-65.76642700000001
3271,MeerKAT:array_1:20250715T232237Z,Gaia_6440700903742898432,26,924.9922853857279,0.16645283035508046,19.138773,2,63,0.031746031746031744,2,19.624629354364806,-63.71847338176609
642,MeerKAT:array_1:20250701T133303Z,Gaia_4669720445461503488,56,874.998335018754,-0.14123270454370462,19.123583,3,64,0.046875,1,4.158255608090522,-65.67861716041467
810,MeerKAT:array_1:20250711T100558Z,Gaia_3394241086990952320,27,872.009398624301,-0.035308176135926156,19.068575,2,64,0.03125,1,5.361180545654102,16.763671253662626
811,MeerKAT:array_1:20250711T100558Z,Gaia_3394164877090745216,36,872.0094002187252,-0.04035220129820132,19.04541,1,64,0.015625,1,5.346794493179766,16.910087757604263
171,MeerKAT:array_1:20250706T120334Z,Gaia_3394111928734223104,40,863.9996601343155,0.04539622646047649,18.853947,2,64,0.03125,1,5.332348367694632,16.41501234689431
184,MeerKAT:array_1:20250706T171757Z,Gaia_6440687812682497280,52,863.9904650896788,-0.015132075486825495,18.805666,4,64,0.0625,4,19.674405613792484,-63.80298707367654
212,MeerKAT:array_1:20250708T085539Z,Gaia_2978691559310142976,11,860.0097776800394,-0.02017610064910066,18.781088,3,64,0.046875,1,4.676406632850507,-18.643014117827857
69,MeerKAT:array_1:20250701T095804Z,Gaia_4669700826050753024,63,862.0096927136183,-0.005044025162275165,18.775171,1,64,0.015625,1,4.093689278198568,-65.91981091210215
391,MeerKAT:array_1:20250718T162015Z,Gaia_5938677947691308032,6,863.9908923953772,0.035308176135926156,18.77124,2,64,0.03125,1,17.064802874227343,-48.58853871692324
641,MeerKAT:array_1:20250701T133303Z,Gaia_4669721922930270208,45,874.998335018754,-0.14123270454370462,18.73706,3,64,0.046875,1,4.14538356482789,-65.59187105035373
799,MeerKAT:array_1:20250710T164056Z,Gaia_6440695023932021632,19,874.9983493685722,0.19671698132873144,18.71262,1,64,0.015625,1,19.634224909586116,-63.90462129388246
146,MeerKAT:array_1:20250706T014240Z,Gaia_6440701212980532608,24,863.9567525833845,-0.03026415097365099,18.707561,4,64,0.0625,1,19.635963942529234,-63.6919497533424
149,MeerKAT:array_1:20250706T014240Z,Gaia_6441063433341914496,55,863.9567525833845,-0.03026415097365099,18.70077,4,64,0.0625,1,19.68619496232213,-63.76006651709582
185,MeerKAT:array_1:20250706T171757Z,Gaia_6441836905412200192,62,863.9904650896788,-0.015132075486825495,18.635422,4,64,0.0625,4,19.677111399161134,-63.37105897154715
258,MeerKAT:array_1:20250709T224008Z,Gaia_6440679188388193280,59,863.9572548270226,-0.08070440259640264,18.535597,1,64,0.015625,1,19.650323328347934,-63.97550213576759
182,MeerKAT:array_1:20250706T171757Z,Gaia_6440630672437607680,23,863.9904650896788,-0.015132075486825495,18.523464,4,64,0.0625,4,19.6513555101635,-64.07734606483893
538,MeerKAT:array_1:20250731T130553Z,Gaia_5423507512522105344,24,863.9644488692284,0.015132075486825495,18.489365,3,64,0.046875,2,9.344535743250953,-45.76310166444554
14901,MeerKAT:array_1:20240319T020710Z,Gaia_2531007910952850560,60,1525.1078669279814,-0.005044025162275165,18.450968,2,64,0.03125,1,0.7429205526301578,-0.33685624636780465
610,MeerKAT:array_1:20250701T095804Z,Gaia_4669713912815018752,5,871.9806081056595,-0.04539622646047649,18.445005,3,64,0.046875,1,4.165815723271222,-65.85941242810505
14880,MeerKAT:array_1:20240319T020710Z,Gaia_2530999625960439808,35,1288.9803850352764,-0.09583647808322814,18.433937,4,64,0.0625,1,0.7686932544052767,-0.3089535554304851
809,MeerKAT:array_1:20250711T100558Z,Gaia_3394140206798789760,4,872.009398624301,-0.035308176135926156,18.428663,2,64,0.03125,1,5.359336402800597,16.542699565276624
3063,MeerKAT:array_1:20250711T173016Z,Gaia_5938674614796585472,27,924.990407153964,0.19167295616645627,18.414806,1,64,0.015625,2,17.069951615101587,-48.64759846840379
868,MeerKAT:array_1:20250714T053348Z,Gaia_4669698386509344000,25,872.4540899246931,0.01008805032455033,18.392,2,62,0.03225806451612903,2,4.097910474069144,-65.90062284566974
934,MeerKAT:array_1:20250720T063432Z,Gaia_5083296001876511744,51,872.0005463808775,0.005044025162275165,18.34659,2,64,0.03125,1,3.9865820174316817,-24.042871191242792
2164,MeerKAT:array_1:20250711T071356Z,Gaia_4669778616498571776,14,921.7920861840248,0.005044025162275165,18.287989,1,64,0.015625,1,4.100985680777852,-65.48677483279876
669,MeerKAT:array_1:20250704T121254Z,Gaia_4669698386509344000,54,874.9937669932842,-0.1160125787323288,18.240616,2,64,0.03125,1,4.097910474069144,-65.90062284566974
14894,MeerKAT:array_1:20240319T020710Z,Gaia_2531010586717352576,38,1525.1078669279814,-0.005044025162275165,18.17839,2,64,0.03125,1,0.7364797018395393,-0.2923174094215459
15093,MeerKAT:array_1:20240319T020710Z,Gaia_2530985233525500544,14,1686.837437480688,-0.005044025162275165,18.172318,4,64,0.0625,1,0.7235069224525283,-0.4101373383961824
209,MeerKAT:array_1:20250708T083640Z,Gaia_4669705705133623552,48,863.9986699968576,0.02017610064910066,18.086565,3,64,0.046875,1,4.155592957583869,-65.99371965242827
632,MeerKAT:array_1:20250701T095804Z,Gaia_4669720067504380288,32,879.9420323520899,-0.15132075486825497,18.054125,2,64,0.03125,1,4.149975830371698,-65.64818931556401
74,MeerKAT:array_1:20250701T095804Z,Gaia_4669731062620671616,6,867.9685822874308,-0.10592452840777847,17.945084,1,64,0.015625,1,4.112367794040065,-65.55399840996427
99,MeerKAT:array_1:20250702T203437Z,Gaia_6440709493677449344,45,864.0019018948078,-0.1462767297059798,17.768885,4,63,0.06349206349206349,1,19.66023086568958,-63.53800364012371
96,MeerKAT:array_1:20250702T203437Z,Gaia_6440683689513934464,31,864.0019018948078,-0.1462767297059798,17.747114,4,63,0.06349206349206349,1,19.646909253418205,-63.875229648391695
253,MeerKAT:array_1:20250709T224008Z,Gaia_6440700903742898432,20,863.9669058769941,-0.035308176135926156,17.70924,2,64,0.03125,2,19.624629354364806,-63.71847338176609
82,MeerKAT:array_1:20250701T185513Z,ex_3C_286,19,863.9913212954998,-0.06052830194730198,17.709011,4,64,0.0625,1,13.518969000000002,30.509156
670,MeerKAT:array_1:20250704T121254Z,Gaia_4669730306706410880,56,874.9937669932842,-0.1160125787323288,17.69804,2,64,0.03125,1,4.113787001810862,-65.57197560265381
500,MeerKAT:array_1:20250730T235713Z,Gaia_4668958827500877440,50,863.9564847201109,-0.0857484277586778,17.65214,3,64,0.046875,1,4.186058031446229,-65.98619807195168
14877,MeerKAT:array_1:20240319T020710Z,Gaia_2543022442012637952,25,1288.9803850352764,-0.09583647808322814,17.633284,4,64,0.0625,1,0.7232105077027494,-0.204113057160907
14838,MeerKAT:array_1:20240319T020710Z,Gaia_2530979151851814144,3,1273.7320051044226,-0.005044025162275165,17.625536,3,64,0.046875,1,0.7280532610396407,-0.5704520443748631
6675,MeerKAT:array_1:20250709T224008Z,Gaia_6440677607840221568,28,960.0000349730253,-0.19167295616645627,17.617744,3,64,0.046875,1,19.650271761522138,-64.06003757863873
245,MeerKAT:array_1:20250709T043236Z,Gaia_4669712783239780224,57,863.9666061252356,-0.005044025162275165,17.571749,2,64,0.03125,2,4.137784419356912,-65.82012245067386
791,MeerKAT:array_1:20250710T140151Z,Gaia_5240445011285399936,53,879.9917831718922,0.07061635227185231,17.496365,2,62,0.03225806451612903,1,11.027739534803791,-64.16316691712164
94,MeerKAT:array_1:20250702T203437Z,Gaia_6441475887641404672,11,863.9580217450857,-0.0857484277586778,17.488667,4,63,0.06349206349206349,1,19.627952806854807,-63.40563990923423
2258,MeerKAT:array_1:20250718T225142Z,Gaia_6441456886706080896,54,919.7943937778473,-0.03026415097365099,17.317444,4,64,0.0625,1,19.627596580736565,-63.51683161564565
15058,MeerKAT:array_1:20240319T020710Z,Gaia_2531011376990672256,8,1562.086006000638,-0.005044025162275165,17.24717,4,64,0.0625,1,0.7286175656815567,-0.2861088353098092
444,MeerKAT:array_1:20250720T073007Z,Gaia_5083283258710214400,19,863.964517429471,0.03026415097365099,17.21305,2,64,0.03125,1,3.976357210425332,-24.291783101022833
2256,MeerKAT:array_1:20250718T225142Z,Gaia_6440682761800997888,13,919.7943937778473,-0.03026415097365099,17.206123,4,64,0.0625,1,19.64571518238437,-63.913697432397264
3538,MeerKAT:array_1:20250731T120456Z,Gaia_5423607980388368896,30,924.9917129874229,-0.10088050324550331,17.183296,2,64,0.03125,1,9.357783853266904,-45.47326680192691
93,MeerKAT:array_1:20250702T203437Z,Gaia_6441449739880510080,10,864.0019018948078,-0.1462767297059798,17.155453,4,63,0.06349206349206349,1,19.610568979813607,-63.760778267160724
123,MeerKAT:array_1:20250705T155654Z,Gaia_6441465820238323712,33,863.9907409250736,-0.005044025162275165,17.089382,1,64,0.015625,1,19.64538252885469,-63.37272249022312
92,MeerKAT:array_1:20250702T203437Z,Gaia_6441084392782329344,3,864.0019018948078,-0.1462767297059798,17.085962,4,63,0.06349206349206349,1,19.67669485894518,-63.51229140113957
208,MeerKAT:array_1:20250708T083640Z,Gaia_4669810914652429184,36,863.9986699968576,0.02017610064910066,17.068136,3,64,0.046875,1,4.179064579611352,-65.65418444934018
650,MeerKAT:array_1:20250703T155221Z,Gaia_6440688018840917632,25,874.9924085438251,0.04035220129820132,17.044706,2,64,0.03125,1,19.68312722841508,-63.78754359473947
377,MeerKAT:array_1:20250715T163334Z,Gaia_6760426962300860544,29,863.9678306430578,-0.04539622646047649,17.03987,3,64,0.046875,1,18.911097225217087,-30.559633339163163
90,MeerKAT:array_1:20250702T203437Z,J1939-6342,0,863.9910311102867,-0.04035220129820132,17.02228,2,63,0.031746031746031744,1,19.65695277777778,-63.71266666666667
138,MeerKAT:array_1:20250705T204042Z,Gaia_6440695642407425792,31,863.9669138491154,-0.02017610064910066,17.001905,4,64,0.0625,2,19.63993895294827,-63.848953667518664
498,MeerKAT:array_1:20250730T235713Z,Gaia_4669776280036326272,22,863.9564847201109,-0.0857484277586778,16.983189,3,64,0.046875,1,4.0913018046202625,-65.60364379504367
14898,MeerKAT:array_1:20240319T020710Z,Gaia_2530997225074268544,53,1525.073156312108,-0.015132075486825495,16.872423,1,64,0.015625,1,0.7639154324518892,-0.3922466246226695
413,MeerKAT:array_1:20250719T103545Z,Gaia_4669702406598752640,50,864.0189367234707,-0.0857484277586778,16.864248,2,64,0.03125,1,4.086659521575402,-65.84501600372867
3537,MeerKAT:array_1:20250731T120456Z,J0922-4534,0,924.9917129874229,-0.10088050324550331,16.768915,2,64,0.03125,1,9.371263888888889,-45.57805555555556
2121,MeerKAT:array_1:20250708T105617Z,Gaia_3394138798049565568,23,919.9847807884216,0.02017610064910066,16.766106,1,63,0.015873015873015872,1,5.339913781560568,16.55637179740931
651,MeerKAT:array_1:20250703T155221Z,Gaia_6440687812682497280,29,874.9924085438251,0.04035220129820132,16.758081,2,64,0.03125,1,19.674405613792484,-63.80298707367654
