row,obsid,sourceName,beam,frequency,driftRate,snr,n_beams,n_obs_at_freq,ra,dec
31863,MeerKAT:array_1:20250715T124827Z,ex_LEDA_1109753,42,562.5536758303642,0.040743422744974,15.73986,1,1,13.290082933333334,-1.799516
122210,MeerKAT:array_1:20250723T043540Z,Gaia_4655083162590528256,42,648.2509961724281,0.012223026823492201,15.736461,4,2,5.058704140884099,-70.13201790236157
87166,MeerKAT:array_1:20250715T143518Z,Gaia_6272552453067390720,59,615.9901689291,0.030557567058730504,15.723369,3,1,14.371226879061886,-24.94340092191895
85793,MeerKAT:array_1:20250715T130947Z,ex_UCAC4_149-179913,23,613.1931035518646,0.0264832247842331,15.708239,3,1,16.163717533333333,-60.321983
117092,MeerKAT:array_1:20250715T130947Z,ex_CF_Nor,15,651.2685500383377,0.0162973690979896,15.699896,3,3,16.191896133333334,-60.131622
8950,MeerKAT:array_1:20250715T124827Z,ex_[VV2006]_J131618.7-022454,13,550.2658151388168,-0.059077962980212305,15.690924,3,2,13.271848533333333,-2.415161
87068,MeerKAT:array_1:20250715T143518Z,ex_EC_14190-2417,6,615.9901679158211,0.024446053646984402,15.6765175,1,1,14.365593333333335,-24.522551
87114,MeerKAT:array_1:20250715T143518Z,Gaia_6272786923922098816,30,615.9901679158211,0.0366690804704766,15.673856,4,1,14.315072921744209,-24.30770351865035
87078,MeerKAT:array_1:20250715T143518Z,ex_CRTS_J142140.6-245217,11,615.9901628494263,0.0081486845489948,15.671599,1,1,14.361314666666667,-24.871423
139245,MeerKAT:array_1:20250731T221802Z,Gaia_4669827304247693696,7,675.0237799286842,-0.0366690804704766,15.662207,3,1,4.176827141980902,-65.22564925737734
133525,MeerKAT:array_1:20250715T133052Z,ex_ASASSN-V_J151603.09-271408.4,15,675.8447111845016,0.0733381609409532,15.658884,2,2,15.267525333333332,-27.23567
89508,MeerKAT:array_1:20250723T030515Z,ex_ASASSN-V_J053240.24-692903.5,61,615.67118871212,0.0264832247842331,15.654526,3,1,5.544511333333333,-69.48431
139275,MeerKAT:array_1:20250731T221802Z,Gaia_4669834073116105344,37,675.0237789154053,-0.030557567058730504,15.650965,4,1,4.121852706155646,-65.31375049911986
99007,MeerKAT:array_1:20250718T015317Z,Gaia_4668950375003880320,40,623.9686727523804,-0.022408882509735703,15.648876,4,1,4.18228268234386,-66.12547015703473
121724,MeerKAT:array_1:20250723T033528Z,Gaia_4658397090671938560,15,647.9386286139488,-0.05704079184296361,15.64521,4,3,5.2162133455609725,-68.27397909617171
31919,MeerKAT:array_1:20250715T124827Z,ex_[VV2006]_J131702.2-012952,17,563.9722045660019,0.0631523052547097,15.644092,1,1,13.283941333333333,-1.497654
134718,MeerKAT:array_1:20250715T143518Z,Gaia_6272863649217730304,62,677.9615431427956,0.040743422744974,15.64157,1,4,14.353912251757022,-24.09583055496014
20875,MeerKAT:array_1:20250704T054305Z,Gaia_6440630809876553856,30,552.9638324975967,0.0366690804704766,15.64054,2,1,19.65583600271892,-64.07446884040192
15946,MeerKAT:array_1:20250723T015429Z,Gaia_4661506440816055680,13,548.0131744146347,0.0183345402352383,15.630669,3,1,5.03514493436769,-67.2603106972712
133640,MeerKAT:array_1:20250715T133052Z,Gaia_6226378599703660800,43,677.9615269303322,-0.0162973690979896,15.62458,2,2,15.250350436940975,-26.304398506848777
210693,MeerKAT:array_1:20250715T053823Z,Gaia_4669881317756360448,22,651.6913194060326,-0.0020371711372487,15.620544,2,1,4.114284896064607,-65.2759681140518
117356,MeerKAT:array_1:20250715T133052Z,Gaia_6214370042939954432,37,648.8109574317932,-0.0101858556862435,15.601172,2,1,15.285889589396849,-26.5321832094902
87143,MeerKAT:array_1:20250715T143518Z,Gaia_6272835680390688000,47,615.9901618361473,0.0162973690979896,15.599446,2,1,14.33304638287884,-24.217668135602022
242255,MeerKAT:array_1:20250715T143518Z,Gaia_6272832068321816064,52,677.9615512490273,0.0040743422744974,15.59769,3,3,14.338860941056918,-24.2827073904042
29759,MeerKAT:array_1:20250705T180344Z,Gaia_5820201755826454400,20,563.9785476922989,-0.012223026823492201,15.597315,2,2,15.661011424474692,-69.23667643535148
86036,MeerKAT:array_1:20250715T133052Z,ex_CRTS_J151706.4-270946,6,615.9903057217598,-0.0651894763919584,15.582836,3,1,15.285138,-27.162861999999997
29869,MeerKAT:array_1:20250705T192701Z,ex_CRTS_J191730.3-320256,6,563.9721113443375,-0.0101858556862435,15.5626545,2,1,19.291746866666667,-32.049151
87093,MeerKAT:array_1:20250715T143518Z,ex_LEDA_786162,19,615.9901669025421,0.0264832247842331,15.562007,1,1,14.349416666666666,-24.782778
105084,MeerKAT:array_1:20250715T124827Z,ex_[VV2006]_J131716.7-014247,23,636.2808460593224,-0.05092927843121751,15.556725,2,2,13.287962333333335,-1.713211
81896,MeerKAT:array_1:20250704T054305Z,Gaia_6440706603162467200,6,619.3194904923439,0.048892107293968805,15.553734,1,1,19.65195037229325,-63.65917272909129
24165,MeerKAT:array_1:20250715T133052Z,Gaia_6214327711742533248,46,559.250361084938,0.012223026823492201,15.550759,1,1,15.312014739375769,-26.501675005682674
85884,MeerKAT:array_1:20250715T130947Z,ex_AF_TrA,12,619.3195279836655,0.012223026823492201,15.506992,1,2,16.1496708,-60.345174
87089,MeerKAT:array_1:20250715T143518Z,ex_LEDA_784492,17,615.9901618361473,0.0162973690979896,15.495294,2,1,14.338138866666666,-24.937778000000005
184515,MeerKAT:array_1:20250715T143518Z,Gaia_6272622272055815424,35,615.9901648759842,-0.0020371711372487,15.474663,4,1,14.354023497922185,-24.60667427460052
31815,MeerKAT:array_1:20250715T124827Z,ex_[VV2006]_J131539.5-014850,6,562.5536687374115,0.07944967435269931,15.459525,1,2,13.2609708,-1.813749
43596,MeerKAT:array_1:20250715T133052Z,Gaia_6214327711742533248,46,575.9938971400261,0.048892107293968805,15.456894,1,1,15.312014739375769,-26.501675005682674
105772,MeerKAT:array_1:20250715T141354Z,ex_LEDA_706855,34,633.7495049834251,-0.0081486845489948,15.454221,4,4,15.190688666666667,-31.296033999999995
111364,MeerKAT:array_1:20250702T181451Z,Gaia_5820166056060793856,63,653.2495478987694,-0.030557567058730504,15.442182,1,2,15.547805718484316,-69.28474536410236
79562,MeerKAT:array_1:20250710T060816Z,Gaia_5599313580653331456,16,607.2549321651459,-0.024446053646984402,15.436357,1,1,7.623486101523293,-30.235833228608048
86077,MeerKAT:array_1:20250715T133052Z,Gaia_6214397255852916736,29,615.9903077483177,-0.0753753320782019,15.432834,3,1,15.278044473679259,-26.186581631630652
109057,MeerKAT:array_1:20250715T141354Z,Gaia_6210715128849230976,52,643.9959216713905,0.024446053646984402,15.432638,3,1,15.231425803199881,-31.25643436609922
138119,MeerKAT:array_1:20250723T045553Z,Gaia_4663774458391152512,62,671.9665511250496,0.030557567058730504,15.426605,2,1,5.081134643723317,-65.27293250716323
111338,MeerKAT:array_1:20250702T181451Z,ex_ASASSN-V_J154012.39-682940.1,5,653.249530673027,0.0325947381959792,15.426543,3,3,15.670108666666668,-68.49446
32779,MeerKAT:array_1:20250715T141354Z,ex_ASASSN-V_J151310.06-311615.3,19,563.9649900197983,0.020371711372487,15.415325,1,1,15.219460666666667,-31.27092
80189,MeerKAT:array_1:20250715T135202Z,ex_ASASSN-V_J153511.70-332719.0,31,611.7051814198494,-0.06722664752920711,15.400954,1,1,15.586582666666668,-33.455279999999995
139282,MeerKAT:array_1:20250731T221802Z,Gaia_4669681305423190912,44,675.0237789154053,-0.030557567058730504,15.394542,4,1,4.144524387988824,-66.08909789821749
125613,MeerKAT:array_1:20250715T135202Z,ex_Gaia_DR2_6014515417835108352,12,660.8566333055496,-0.06111513411746101,15.378973,4,1,15.5393338,-33.354266
103848,MeerKAT:array_1:20250705T180344Z,Gaia_5820290197796144128,12,629.986801981926,0.040743422744974,15.371203,3,1,15.549428562051888,-68.69055845612584
134097,MeerKAT:array_1:20250715T135202Z,ex_2MFGC_12556,45,677.9615553021431,-0.0651894763919584,15.370931,3,4,15.580059733333334,-32.940972
125939,MeerKAT:array_1:20250715T141354Z,Gaia_6210702415745896192,54,660.8565755486488,0.059077962980212305,15.357118,1,2,15.212798249424651,-31.28394292635149
105600,MeerKAT:array_1:20250715T141354Z,ex_Gaia_DR3_6210810163588884096,13,630.3628308176994,0.038706251607725305,15.341536,1,1,15.171890866666669,-31.189497000000003
183152,MeerKAT:array_1:20250716T012443Z,Gaia_4669825723699704192,27,611.9847450852394,-0.0020371711372487,15.341009,3,1,4.171599006275218,-65.29597401431879
1396,MeerKAT:array_1:20250704T054305Z,Gaia_6441424588552067456,5,551.999394595623,-0.012223026823492201,15.3148985,3,1,19.581274113725446,-63.89836092648778
133607,MeerKAT:array_1:20250715T133052Z,ex_LEDA_761943,22,677.9615238904953,0.0264832247842331,15.2937355,1,4,15.261333333333331,-26.94
133387,MeerKAT:array_1:20250715T130947Z,ex_ASASSN-V_J161455.85-595337.3,38,677.96155834198,-0.0468549361567201,15.289644,1,4,16.24884666666667,-59.89369
87162,MeerKAT:array_1:20250715T143518Z,Gaia_6272829456981774464,57,615.9901638627052,0.0366690804704766,15.278086,3,1,14.331077754784966,-24.376048364388605
40447,MeerKAT:array_1:20250713T192439Z,Gaia_5820010917527180416,7,575.9937877058983,-0.020371711372487,15.275373,3,2,15.650235482475594,-69.4375157058278
133406,MeerKAT:array_1:20250715T130947Z,ex_ASASSN-V_J160851.42-600531.8,50,677.9615512490273,-0.0081486845489948,15.274002,3,3,16.147615333333334,-60.09218
133638,MeerKAT:array_1:20250715T133052Z,Gaia_6214255728090340992,41,677.9615269303322,-0.006111513411746101,15.268636,1,2,15.239129816158913,-26.858508688979942
96123,MeerKAT:array_1:20250714T160406Z,Gaia_6144639286085319296,6,625.0282352566719,0.040743422744974,15.25576,4,1,12.25633978724629,-44.3938570020555
94437,MeerKAT:array_1:20250713T184021Z,Gaia_6440683620794454784,39,625.0283467173576,0.0264832247842331,15.227277,3,1,19.648266000836074,-63.878844581560664
138068,MeerKAT:array_1:20250723T045553Z,Gaia_4663601658959713536,11,671.9665501117706,0.028520395921481805,15.222884,2,1,5.1324441004616075,-65.44770451619485
99041,MeerKAT:array_1:20250718T015317Z,Gaia_4669839227076906240,57,623.9686737656593,-0.0264832247842331,15.214124,2,1,4.171535733964522,-65.21226480641207
44634,MeerKAT:array_1:20250715T141354Z,Gaia_6210694135048923008,47,575.964246571064,0.014260197960740902,15.205257,3,1,15.197181192868834,-31.45486119022749
185637,MeerKAT:array_1:20250702T183548Z,ex_ASASSN-V_J163608.07-330957.6,43,625.0209781527519,0.0040743422744974,15.197097,3,1,16.602214,-33.16577
135333,MeerKAT:array_1:20250717T054309Z,Gaia_4669818439435145216,44,673.1439934372902,0.06722664752920711,15.192792,1,1,4.165123921944731,-65.42808185404816
134622,MeerKAT:array_1:20250715T143518Z,ex_CRTS_J141833.3-243238,3,677.9615401029587,0.055003620705714906,15.191136,1,4,14.309240733333334,-24.543635
83594,MeerKAT:array_1:20250707T173400Z,Gaia_6144647468001000832,43,611.9930722117424,0.040743422744974,15.190626,4,1,12.27114860507026,-44.254954368983405
58728,MeerKAT:array_1:20250715T133052Z,Gaia_6214260091777145984,45,587.129423558712,0.05092927843121751,15.173101,4,1,15.232509270022598,-26.787586347562005
53644,MeerKAT:array_1:20250702T185632Z,ex_ASASSN-V_J174444.36-161756.4,59,587.9941304922104,-0.0468549361567201,15.162727,4,1,17.745655333333332,-16.299
