f_lo_mhz,f_hi_mhz,label,n_beams,n_obs,n_hits
644.30785,644.30795,"empirical: 64 beams, 3 obs",64,3,184
644.30825,644.30835,"empirical: 64 beams, 3 obs",64,3,191
645.99995,646.00005,"empirical: 64 beams, 26 obs",64,26,1664
647.22355,647.22365,"empirical: 64 beams, 22 obs",64,22,1232
647.24985,647.24995,"empirical: 64 beams, 23 obs",64,23,1357
647.93855,647.93865,"empirical: 64 beams, 5 obs",64,5,158
647.93865,647.93875,"empirical: 64 beams, 6 obs",64,6,336
647.93875,647.93885,"empirical: 64 beams, 7 obs",64,7,406
647.95945,647.95955,"empirical: 64 beams, 5 obs",64,5,227
647.95955,647.95965,"empirical: 64 beams, 3 obs",64,3,154
647.95965,647.95975,"empirical: 64 beams, 4 obs",64,4,117
647.95985,647.95995,"empirical: 64 beams, 4 obs",64,4,196
647.96765,647.96775,"empirical: 64 beams, 3 obs",64,3,192
647.96845,647.96855,"empirical: 64 beams, 3 obs",64,3,192
647.97345,647.97355,"empirical: 64 beams, 3 obs",64,3,144
647.97505,647.97515,"empirical: 64 beams, 4 obs",64,4,125
647.97525,647.97535,"empirical: 64 beams, 4 obs",64,4,158
647.97535,647.97545,"empirical: 64 beams, 4 obs",64,4,188
647.97775,647.97785,"empirical: 64 beams, 4 obs",64,4,192
647.97785,647.97795,"empirical: 64 beams, 3 obs",64,3,145
647.97795,647.97805,"empirical: 34 beams, 3 obs",34,3,43
647.98145,647.98155,"empirical: 64 beams, 3 obs",64,3,169
647.98405,647.98415,"empirical: 64 beams, 3 obs",64,3,124
647.98425,647.98435,"empirical: 64 beams, 3 obs",64,3,192
647.98435,647.98445,"empirical: 64 beams, 3 obs",64,3,189
647.98445,647.98455,"empirical: 64 beams, 4 obs",64,4,172
647.98515,647.98525,"empirical: 64 beams, 3 obs",64,3,132
647.98855,647.98865,"empirical: 62 beams, 3 obs",62,3,78
647.99295,647.99305,"empirical: 64 beams, 5 obs",64,5,320
647.99305,647.99315,"empirical: 64 beams, 3 obs",64,3,192
647.99315,647.99325,"empirical: 64 beams, 4 obs",64,4,256
647.99465,647.99475,"empirical: 64 beams, 3 obs",64,3,79
647.99955,647.99965,"empirical: 64 beams, 4 obs",64,4,171
648.00065,648.00075,"empirical: 64 beams, 5 obs",64,5,245
648.00105,648.00115,"empirical: 64 beams, 3 obs",64,3,70
650.02205,650.02215,"empirical: 64 beams, 3 obs",64,3,80
650.02285,650.02295,"empirical: 64 beams, 3 obs",64,3,149
656.24995,656.25005,"empirical: 57 beams, 8 obs",57,8,125
657.59855,657.59865,"empirical: 64 beams, 3 obs",64,3,132
657.63145,657.63155,"empirical: 64 beams, 6 obs",64,6,159
657.65745,657.65755,"empirical: 64 beams, 7 obs",64,7,132
657.66785,657.66795,"empirical: 64 beams, 3 obs",64,3,84
657.67995,657.68005,"empirical: 64 beams, 4 obs",64,4,166
657.68015,657.68025,"empirical: 58 beams, 8 obs",58,8,99
657.68025,657.68035,"empirical: 64 beams, 4 obs",64,4,172
657.76665,657.76675,"empirical: 64 beams, 5 obs",64,5,139
657.77365,657.77375,"empirical: 64 beams, 3 obs",64,3,86
657.79615,657.79625,"empirical: 64 beams, 6 obs",64,6,118
657.80655,657.80665,"empirical: 64 beams, 3 obs",64,3,80
657.86545,657.86555,"empirical: 64 beams, 3 obs",64,3,78
657.93825,657.93835,"empirical: 64 beams, 6 obs",64,6,99
657.94695,657.94705,"empirical: 64 beams, 3 obs",64,3,82
657.95565,657.95575,"empirical: 64 beams, 3 obs",64,3,80
657.96255,657.96265,"empirical: 64 beams, 5 obs",64,5,113
657.96775,657.96785,"empirical: 64 beams, 6 obs",64,6,156
657.97125,657.97135,"empirical: 64 beams, 5 obs",64,5,140
657.97985,657.97995,"empirical: 64 beams, 4 obs",64,4,93
657.98335,657.98345,"empirical: 64 beams, 3 obs",64,3,84
658.62265,658.62275,"empirical: 64 beams, 3 obs",64,3,121
658.62335,658.62345,"empirical: 35 beams, 3 obs",35,3,41
658.62345,658.62355,"empirical: 64 beams, 5 obs",64,5,113
658.62365,658.62375,"empirical: 64 beams, 3 obs",64,3,152
658.62415,658.62425,"empirical: 61 beams, 4 obs",61,4,96
658.62465,658.62475,"empirical: 64 beams, 4 obs",64,4,154
658.62495,658.62505,"empirical: 64 beams, 3 obs",64,3,77
658.62505,658.62515,"empirical: 64 beams, 3 obs",64,3,130
658.62525,658.62535,"empirical: 64 beams, 3 obs",64,3,74
658.62575,658.62585,"empirical: 64 beams, 3 obs",64,3,192
659.98345,659.98355,"empirical: 38 beams, 3 obs",38,3,45
659.98365,659.98375,"empirical: 64 beams, 4 obs",64,4,218
659.98505,659.98515,"empirical: 63 beams, 3 obs",63,3,91
659.99235,659.99245,"empirical: 64 beams, 5 obs",64,5,142
659.99245,659.99255,"empirical: 64 beams, 7 obs",64,7,239
659.99255,659.99265,"empirical: 63 beams, 5 obs",63,5,81
659.99285,659.99295,"empirical: 38 beams, 3 obs",38,3,41
662.39485,662.39495,"empirical: 64 beams, 3 obs",64,3,120
671.96655,671.96665,"empirical: 64 beams, 3 obs",64,3,136
671.98335,671.98345,"empirical: 64 beams, 5 obs",64,5,196
671.98355,671.98365,"empirical: 64 beams, 3 obs",64,3,85
671.98375,671.98385,"empirical: 64 beams, 3 obs",64,3,134
671.99275,671.99285,"empirical: 64 beams, 3 obs",64,3,192
671.99935,671.99945,"empirical: 64 beams, 3 obs",64,3,128
671.99975,671.99985,"empirical: 64 beams, 3 obs",64,3,134
671.99995,672.00005,"empirical: 64 beams, 4 obs",64,4,218
672.00015,672.00025,"empirical: 64 beams, 3 obs",64,3,176
672.05265,672.05275,"empirical: 62 beams, 4 obs",62,4,111
672.05345,672.05355,"empirical: 63 beams, 3 obs",63,3,118
674.99355,674.99365,"empirical: 64 beams, 3 obs",64,3,192
674.99445,674.99455,"empirical: 64 beams, 3 obs",64,3,192
674.99525,674.99535,"empirical: 64 beams, 4 obs",64,4,200
676.53815,676.53825,"empirical: 63 beams, 3 obs",63,3,123
676.53835,676.53845,"empirical: 40 beams, 5 obs",40,5,53
