family,n,band,band_frac,documented_frac,explained,median_freq_mhz,freq_iqr_mhz,freq_p5_p95_mhz,freq_span_mhz,median_abs_drift,median_snr,median_n_beams,n_obs
17,10401,aircraft transponders / DME,0.8490529756754158,0.983751562349774,True,983.9889274537563,32.95068401098251,71.9996389746666,165.42010463774204,0.0615045648819359,24.242044,64.0,129
37,9520,GSM downlink,0.9993697478991597,0.9997899159663866,True,950.418428555131,9.44156813621521,25.0744881182909,84.88583633303642,0.21526597708677564,18.506369499999998,2.0,88
32,8623,GSM downlink,0.9997680621593413,1.0,True,950.4236279726028,9.469338223338127,25.08313133269553,106.86727534234524,0.21526597708677564,16.417141,2.0,88
30,7041,GSM downlink,0.9953131657435024,0.9988637977560005,True,934.8426591157913,15.627683892846107,25.128193110227585,181.1381652802229,0.27677054196871154,9.870302,1.0,96
3,6516,GSM uplink,0.39088397790055246,0.7581338244321669,True,911.9788657277822,46.60961589217186,70.69777563214302,75.09003815054893,0.0,35.37059,64.0,90
25,5414,GSM uplink,0.27613594384927964,0.6087920206871075,True,911.9550466239452,83.42237809300423,166.24798710644245,211.2119275778532,0.15376141220483974,9.59488,40.0,137
20,5376,aircraft transponders / DME,0.5978422619047619,0.8223586309523809,True,983.9762820750475,85.50102938339114,167.998196169734,204.01762707531452,0.04100304325462393,74.16197500000001,64.0,141
14,5356,GSM uplink,0.2128454070201643,0.3554891710231516,False,894.1488099992275,50.00199304148555,61.01326507329941,175.788167193532,0.1230091297638718,25.672677999999998,64.0,138
38,4915,GSM downlink,0.958087487283825,0.9755849440488301,True,934.8358046859503,15.703989051282406,25.136872518062546,200.78329603374004,0.25626902034139953,9.092162,1.0,98
15,4861,aircraft transponders / DME,0.40547212507714464,0.7220736473976548,True,959.9519567042589,96.02244804799557,167.9901140332222,211.76268635690212,0.05125380406827991,14.061453,57.0,142
33,4758,GSM downlink,1.0,1.0,True,950.4426653981209,9.39999033510685,25.01216414719829,34.755291640758514,0.15376141220483974,21.3623585,2.0,88
4,4419,GSM downlink,0.9979633401221996,0.9979633401221996,True,935.4620004594326,0.46549853682518005,0.7803000658750534,61.146882608532906,0.0,561.73267,62.0,29
12,4216,GSM downlink,0.9997628083491461,1.0,True,951.6330075338483,0.13826289027929306,8.477572858333588,66.62440593540668,0.10250760813655982,10.9978345,2.0,57
8,3652,GSM downlink,1.0,1.0,True,951.6382013708353,8.182689674198627,8.509023434668734,9.553284659981728,0.0615045648819359,30.2354615,3.0,50
36,3067,GSM downlink,0.9996739484838605,1.0,True,950.4479190260172,9.4295549467206,25.048494857549713,58.76428183913231,0.1845136946458077,18.663902,2.0,87
7,3061,GSM downlink,1.0,1.0,True,951.626074180007,0.12827621400356293,8.379220798611641,9.574088707566261,0.20501521627311964,32.371964,2.0,46
13,2444,GSM downlink,0.08060556464811784,0.11865793780687398,False,924.9903656989336,50.00161476433277,50.01148743927479,66.03660389780998,0.16401217301849572,34.819712,64.0,70
6,2129,GSM downlink,0.9990605918271489,1.0,True,951.6260725855827,0.1265159696340561,9.189797705411934,107.51668912172318,0.1127583689502158,8.400474,1.0,69
34,2005,GSM downlink,0.9591022443890275,0.9875311720698254,True,950.3906855732203,24.876817777752876,25.13866943418975,175.9561573266983,0.4202811933598953,16.048265,1.0,91
24,1834,GSM uplink,0.3276990185387132,0.6701199563794984,True,901.5691855102777,80.77527031302452,167.55325669720764,204.00784687697887,0.21526597708677564,19.68684,23.0,76
35,1799,GSM downlink,0.9827682045580878,0.9927737632017788,True,950.4097166210413,24.895874336361885,25.11257110089059,151.23297986388206,0.4202811933598953,14.78431,1.0,92
19,1609,GSM downlink,0.05593536357986327,0.1124922311995028,False,874.997273132205,0.002018541097640991,59.66241782903671,168.03250658512115,0.07175532569559187,451.43903,64.0,84
23,1142,aircraft transponders / DME,0.6506129597197898,0.8590192644483362,True,992.0990445166826,65.9747099429369,183.97025553062554,204.00758858025074,0.14351065139118374,59.274325,45.0,65
22,1082,GSM uplink,0.47966728280961185,0.6146025878003697,True,899.5283559560776,39.00115253031254,107.59349413216114,198.0993969142437,0.2357674987140876,150.90518,19.0,19
21,858,GSM downlink,0.9766899766899767,1.0,True,951.2115956246853,0.10745542496442795,0.18026448935279404,115.61846734583378,0.05125380406827991,57.2408355,10.0,22
18,831,,0.0,0.0,False,874.9968123435974,0.001596018671989441,0.004209280014038086,50.00573794543743,0.15376141220483974,381.0056,64.0,35
