file,row,id,obsid,sourceName,beam,frequency,driftRate,snr,n_beams,beam_frac,weak_label,rfi_score,verdict
lband_long,279480,1878,MeerKAT:array_1:20250701T085314Z,Gaia_4669736285300904192,62,855.9694444537163,0.01008805032455033,34.215992,4,0.0625,-1,0.9930002931351545,pruned
lband_long,322805,1440658,MeerKAT:array_1:20250719T103545Z,Gaia_4669702990712825600,8,920.0908610224724,-0.005044025162275165,24.773664,2,0.03125,0,0.9930019149590713,pruned
uhf_long,112165,34634563,MeerKAT:array_1:20250705T180344Z,Gaia_5820279649343898112,63,647.9680451154709,-0.024446053646984402,111.44115,4,0.0625,-1,0.9930031244432479,pruned
uhf_long,5337,252536,MeerKAT:array_1:20250713T184021Z,Gaia_6440681490490698624,3,548.0335767865181,0.0162973690979896,13.548425,1,0.015625,0,0.9930529968760032,pruned
uhf_long,136320,35465309,MeerKAT:array_1:20250720T052239Z,Gaia_4669731818534883840,46,671.9996843338013,-0.012223026823492201,21.338287,4,0.0625,-1,0.9930535047404845,pruned
uhf_long,123602,34899847,MeerKAT:array_1:20250729T170839Z,Gaia_1468280307246645504,34,647.9680096507072,-0.012223026823492201,170.08109,1,0.015625,0,0.9930641116549305,pruned
uhf_short,7968,386335,MeerKAT:array_1:20250730T231157Z,Gaia_2682558129799800704,47,551.9994371533394,0.0427805938822227,113.667114,4,0.0625,-1,0.9930667465529741,pruned
uhf_short,27442,1119004,MeerKAT:array_1:20250713T175609Z,Gaia_1468236498580272896,58,575.972104549408,-0.09411730654088994,23.413855,1,0.015625,0,0.9930711086170678,pruned
uhf_short,82944,34884554,MeerKAT:array_1:20250723T234200Z,Gaia_2682518890977883008,38,648.0004416704178,-0.05989283143511178,20.43252,4,0.0625,-1,0.9930972805553943,pruned
sband_long,10138,1251728,MeerKAT:array_1:20250703T213810Z,ex_ASASSN-V_J173711.12-444221.8,14,2032.0178964175284,-0.10540854454720182,13.564481,1,0.015625,0,0.9930992188545461,pruned
uhf_short,12944,805661,MeerKAT:array_1:20250706T001134Z,Gaia_2699234530032694272,33,563.9997049570084,-0.03422447510577816,18.194576,4,0.0625,-1,0.9930996977114326,pruned
uhf_short,43877,4679545,MeerKAT:array_1:20250716T201432Z,Gaia_4426426284906912768,55,587.9934485554695,-0.03422447510577816,17.709122,4,0.0625,-1,0.9931131956319579,pruned
lband_long,11577,318380,MeerKAT:array_1:20250719T204244Z,Gaia_6441460700637021440,38,864.0003537088633,-0.12105660389460396,11.695917,4,0.0625,-1,0.9931137104787717,pruned
uhf_long,162747,704431,MeerKAT:array_1:20250715T124827Z,ex_[VV2006]_J131712.9-014118,20,560.0552997589111,0.0040743422744974,35.278347,3,0.046875,-1,0.9931311763030581,pruned
uhf_short,138154,1118010,MeerKAT:array_1:20250713T172342Z,Gaia_1456191967172186752,37,576.0434454679489,0.00855611877644454,38.867313,1,0.015625,0,0.993132360648035,pruned
lband_short,474794,1245128,MeerKAT:array_1:20250701T202312Z,Gaia_1315323190257756800,28,919.793709769845,0.020501521627311965,24.51792,2,0.03125,0,0.9931352189991157,pruned
lband_long,16633,407194,MeerKAT:array_1:20250701T085314Z,Gaia_4669731749815407360,23,874.3687861710787,0.02017610064910066,10.353319,4,0.0625,-1,0.9931612378942949,pruned
uhf_long,77925,12892857,MeerKAT:array_1:20250726T235112Z,Gaia_6441856146865800064,23,599.98174649477,0.0162973690979896,35.167286,3,0.046875,-1,0.9931858569342117,pruned
lband_short,10409,396291,MeerKAT:array_1:20250731T150301Z,Gaia_1315331024278093184,11,863.9567764997482,-0.08200608650924786,26.064825,1,0.015625,0,0.9931904521366455,pruned
uhf_long,130396,35391544,MeerKAT:array_1:20250705T192701Z,ex_ASASSN-V_J191548.84-315239.7,38,671.9857618808746,-0.020371711372487,25.255434,3,0.046875,-1,0.9932017108331858,pruned
